--------- beginning of main
09-08 12:03:14.388 12632 12654 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:15.480 12632 12654 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:16.555 12632 12654 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:17.592 12632 12654 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:18.604 12632 12654 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:19.562 12632 12654 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=true multiple=true first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 168 - 1180, 1799)
09-08 12:03:20.547 12632 12654 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=true multiple=true first=Rect(228, 686 - 1308, 1184) reopened=Rect(228, 686 - 1308, 1184)
09-08 12:03:22.740 12632 12654 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:23.446 12632 12654 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:24.200 12632 12654 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:24.906 12632 12654 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:25.629 12632 12654 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:26.322 12632 12654 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:27.050 12632 12654 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=false multiple=true first=Rect(228, 618 - 1308, 1116) reopened=Rect(228, 618 - 1308, 1116)
09-08 12:03:29.305 12632 12654 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:30.637 12632 12654 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:31.949 12632 12654 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:33.248 12632 12654 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:34.538 12632 12654 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:03:35.793 12632 12654 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=false multiple=false first=Rect(100, 168 - 1180, 1122) reopened=Rect(100, 36 - 1180, 1667)
